filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-B3-L3	B	3	B3	e0059-C-5	e0059	XDB-029	lachn-dropped-half_1-2
16S-B-C3-L3	B	3	C3	e0059-C-5	e0059	XDB-029	rumin-dropped-half_1-2
16S-B-D3-L3	B	3	D3	e0059-C-5	e0059	XDB-029	lachn-dropped-half_2-2
16S-B-E3-L3	B	3	E3	e0059-C-5	e0059	XDB-029	bacte-dropped-half_1-2
16S-B-F3-L3	B	3	F3	e0059-C-5	e0059	XDB-029	lachn-dropped-half_1-2
16S-B-G3-L3	B	3	G3	e0059-C-5	e0059	XDB-029	rumin-dropped-half_1-2
16S-B-H3-L3	B	3	H3	e0059-C-5	e0059	XDB-029	lachn-dropped-half_2-2
16S-B-A4-L3	B	3	A4	e0059-C-5	e0059	XEB-029	bacte-dropped-half_2-2
16S-B-B4-L3	B	3	B4	e0059-C-5	e0059	XEB-029	lachn-dropped-half_1-2
16S-B-C4-L3	B	3	C4	e0059-C-5	e0059	XEB-029	rumin-dropped-half_1-2
16S-B-D4-L3	B	3	D4	e0059-C-5	e0059	XEB-029	lachn-dropped-half_2-2
16S-B-E4-L3	B	3	E4	e0059-C-5	e0059	XEB-029	bacte-dropped-half_1-2
16S-B-F4-L3	B	3	F4	e0059-C-5	e0059	XEB-029	lachn-dropped-half_1-2
16S-B-G4-L3	B	3	G4	e0059-C-5	e0059	XEB-029	rumin-dropped-half_1-2
16S-B-H4-L3	B	3	H4	e0059-C-5	e0059	XEB-029	lachn-dropped-half_2-2
16S-B-A5-L3	B	3	A5	e0059-C-5	e0059	XFB-029	bacte-dropped-half_2-2
16S-B-B5-L3	B	3	B5	e0059-C-5	e0059	XFB-029	lachn-dropped-half_1-2
16S-B-C5-L3	B	3	C5	e0059-C-5	e0059	XFB-029	rumin-dropped-half_1-2
